Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

modShotgunIsiBlockDamage,item_modifiers,mod,,,Shotgun Breacher Mod,Schrotflinten-Breacher-Mod,Modificación escopeta Breacher,Modification Breacher de fusil à pompe,Modifica Breacher per fucile a pompa,ショットガンブリーチャー改造パーツ,샷건 브리처 개조,Mod Breacher Strzelby,Modificação Breacher de Espingarda,Модификация «Дробовик-Бричер»,Pompalı Tüfek Breacher Modu,霰弹枪破障模组,散彈獵槍破障模組
modShotgunIsiBlockDamageDesc,item_modifiers,mod,,,"Adds significant block damage to doors, safes, and (wooden) structures.\n\nTriples the damage of Breaching Slugs.","Erhöht den Blockschaden an Türen, Tresoren und (hölzernen) Strukturen deutlich.\n\nVerdreifacht den Schaden von Breaching Slugs.","Agrega un gran daño a puertas, cajas fuertes y estructuras (de madera).\n\nTriplica el daño de los Breaching Slugs.","Ajoute des dégâts importants aux portes, coffres et structures (en bois).\n\nTriple les dégâts des Breaching Slugs.","Aggiunge danni significativi a porte, casseforti e strutture (in legno).\n\nTriplica i danni dei Breaching Slugs.","ドア、金庫、（木製の）建物に大きなブロックダメージを与えます。\n\nブリーチングスラッグのダメージが3倍になります。","문, 금고, (목재) 구조물에 상당한 블록 대미지를 추가합니다.\n\n브리칭 슬러그의 피해가 3배로 증가합니다.","Zwiększa obrażenia zadawane drzwiom, sejfom i (drewnianym) konstrukcjom.\n\nPotraja obrażenia zadawane przez Breaching Slugs.","Aumenta bastante o dano em portas, cofres e estruturas (de madeira).\n\nTriplica o dano dos Breaching Slugs.","Наносит значительный урон дверям, сейфам и (деревянным) строениям.\n\nУрон от Breaching Slugs утроен.","Kapılara, kasalara ve (ahşap) yapılara ciddi hasar ekler.\n\nBreaching Slug’ların hasarını üç katına çıkarır.","对门、保险箱和（木制）建筑造成额外破坏。\n\n破障弹的伤害提高三倍。","對門、保險箱與（木製）建築造成顯著傷害。\n\n破障彈的傷害提升三倍。"

modShotgunIsiRagdoll,item_modifiers,mod,,,Shotgun Stagger Mod,Schrotflinten-Stagger-Mod,Modificación escopeta Stagger,Modification Stagger de fusil à pompe,Modifica Stagger per fucile a pompa,ショットガンスタッガー改造パーツ,샷건 스태거 개조,Mod Stagger Strzelby,Modificação Stagger de Espingarda,Модификация «Дробовик-Stagger»,Pompalı Tüfek Stagger Modu,霰弹枪踉跄模组,散彈獵槍踉蹌模組
modShotgunIsiRagdollDesc,item_modifiers,mod,,,"Increases knockback force, sending enemies flying on impact.","Erhöht die Rückstoßkraft und schleudert Gegner beim Treffer zurück.","Aumenta la fuerza de retroceso y lanza a los enemigos hacia atrás al impactar.","Améliore la force de recul, projetant les ennemis en arrière à l’impact.","Aumenta la forza di contraccolpo, facendo volare i nemici all’impatto.",命中時にノックバック効果が増加し、敵を吹き飛ばします。,명중 시 넉백 효과를 강화해 적을 날려 보냅니다.,"Zwiększa siłę odrzutu, odrzucając wrogów przy trafieniu.","Aumenta a força de recuo, jogando os inimigos para longe no impacto.","Усиливает отдачу, отбрасывая врагов при попадании.","Çarpışmada düşmanları geri savuracak geri tepme gücünü artırır。","提升击退效果，将敌人击飞。","提升擊退效果，將敵人擊飛。"

modShotgunIsiShred,item_modifiers,mod,,,Shotgun Shredder Mod,Schrotflinten-Zerfetz-Mod,Modificación escopeta destrozadora,Modification déchiqueteuse de fusil à pompe,Modifica del trituratore per fucile a pompa,ショットガンシュレッダー改造パーツ,샷건 슈レ더 개조,Mod Rozpruwacz Strzelby,Modificação Trituradora de Espingarda,Модификация «Дробовик-Шреддер»,Pompalı Tüfek Parçalayıcı Modu,霰弹枪粉碎者模组,散彈獵槍粉碎者模組
modShotgunIsiShredDesc,item_modifiers,mod,,,"Applies an armor-shredding effect to enemies hit by your shotgun.","Versehen Sie getroffene Gegner mit einem Rüstungsschädigungseffekt.","Aplica un efecto que destroza la armadura a los enemigos alcanzados.","Ajoute un effet de déchirure d’armure aux ennemis touchés.","Applica un effetto che lacera l’armatura ai nemici colpiti.",ショットガンで命中した敵にアーマー削り効果を付与します。,샷건에 맞은 적에게 방어구 손상 효과를 부여합니다.,"Zadaje efekt niszczenia pancerza trafionym wrogom.","Aplica efeito de destruição de armadura aos inimigos atingidos.","Накладывает эффект разрушения брони на поражённых врагов.","Şatgan ile vurulan düşmanlara zırh aşındırıcı etki uygular.","对命中的敌人施加破甲效果。","對命中的敵人施加破甲效果。"

perkShotgunMessiahCompleteDesc,progression,perk  book,,,"Unlocks bulk crafting for all shotgun ammo and learn to craft three unique shotgun mods: Breacher, Stagger, and Shredder.","Schaltet das Herstellen großer Mengen aller Schrotflintenmunition frei und du lernst, drei einzigartige Schrotflinten-Mods herzustellen: Breacher, Stagger und Shredder.","Desbloquea la fabricación en masa de toda la munición de escopeta y aprendes a fabricar tres modificaciones únicas: Breacher, Stagger y Shredder.","Débloque la fabrication en gros de toutes les munitions de fusil à pompe et vous apprenez à fabriquer trois mods uniques : Breacher, Stagger et Shredder.","Sblocca la creazione in serie di tutte le munizioni per fucile a pompa e impari a creare tre modifiche uniche: Breacher, Stagger e Shredder.","全てのショットガン用弾薬のバルククラフトを解禁し、「Breacher」「Stagger」「Shredder」という3種類の固有ショットガン改造パーツのクラフトを習得します。","모든 샷건 탄약의 대량 제작을 해금하고 Breacher, Stagger, Shredder라는 세 가지 고유한 샷건 개조를 제작하는 법을 배웁니다.","Odblokowuje produkcję seryjną całej amunicji do strzelby i uczysz się wytwarzać trzy unikalne modyfikacje: Breacher, Stagger i Shredder.","Desbloqueia a fabricação em lote de todas as munições de espingarda e você aprende a criar três mods exclusivos: Breacher, Stagger e Shredder.","Открывает массовое создание всех боеприпасов для дробовика, и вы учитесь изготавливать три уникальные модификации: Breacher, Stagger и Shredder.","Tüm pompalı tüfek mühimmatının toplu üretimini açar ve Breacher, Stagger, Shredder adında üç özel modu yapmayı öğrenirsin.","解锁所有霰弹枪弹药的批量制造，并学习制作三种独特的霰弹枪模组：Breacher、Stagger 和 Shredder。","解鎖所有散彈獵槍彈藥的批量製作，並學會製作三種獨特的散彈獵槍模組：Breacher、Stagger 和 Shredder。"
perkShotgunMessiahCompleteLongDesc,progression,perk  book,,,"Master the shotgun and take it to the next level. Unlock bulk crafting for all shotgun ammo and gain access to three powerful mods: Breacher for enhanced block damage, Stagger for devastating knockback, and Shredder for armor-piercing power.","Meistere die Schrotflinte und hebe sie auf die nächste Stufe. Schalte das Herstellen großer Mengen aller Schrotflintenmunition frei und erhalte Zugang zu drei mächtigen Mods: Breacher für erhöhten Blockschaden, Stagger für verheerenden Rückstoß und Shredder für Rüstungsdurchdringung.","Domina la escopeta y llévala al siguiente nivel. Desbloquea la fabricación en masa de toda la munición de escopeta y obtén acceso a tres poderosas modificaciones: Breacher para un mayor daño a los bloques, Stagger para un retroceso devastador y Shredder para perforar armaduras.","Maîtrisez le fusil à pompe et passez au niveau supérieur. Débloquez la fabrication en gros de toutes les munitions de fusil à pompe et accédez à trois mods puissants : Breacher pour des dégâts accrus aux blocs, Stagger pour un recul dévastateur et Shredder pour percer les armures.","Padroneggia il fucile a pompa e portalo al livello successivo. Sblocca la creazione in serie di tutte le munizioni per fucile a pompa e ottieni tre potenti modifiche: Breacher per danni ai blocchi, Stagger per un forte contraccolpo e Shredder per potere perforante contro le armature.","ショットガンを極め、さらに強化しましょう。全てのショットガン弾薬のバルククラフトを解禁し、強力な改造パーツを3種類習得できます：「Breacher」（ブロックダメージ強化）、「Stagger」（強烈なノックバック）、「Shredder」（アーマー貫通）。","샷건을 완벽히 익히고 한 단계 더 끌어올리세요. 모든 샷건 탄약의 대량 제작을 해금하고, 강력한 세 가지 개조를 사용할 수 있습니다: Breacher (블록 피해 강화), Stagger (강력한 넉백), Shredder (방어구 관통).","Opanuj strzelbę i wejdź na wyższy poziom. Odblokuj produkcję seryjną całej amunicji do strzelby i zdobądź dostęp do trzech potężnych modyfikacji: Breacher (większe obrażenia bloków), Stagger (niszczący odrzut) i Shredder (moc przebijania pancerza).","Domine a espingarda e leve-a para o próximo nível. Desbloqueie a fabricação em lote de todas as munições de espingarda e obtenha três poderosas modificações: Breacher para dano em blocos, Stagger para recuo devastador e Shredder para perfuração de armaduras.","Освойте дробовик и поднимите его на новый уровень. Откройте массовое создание всех боеприпасов и получите доступ к трём мощным модификациям: Breacher (повышенный урон по блокам), Stagger (сильный отбрасывающий эффект) и Shredder (пробивание брони).","Pompalı tüfeği ustala ve bir üst seviyeye taşı. Tüm mühimmatın toplu üretimini aç ve üç güçlü mod kazan: Breacher (blok hasarı için), Stagger (yıkıcı geri tepme için), Shredder (zırh delici güç için).","精通霰弹枪并将其提升到新水平。解锁所有霰弹枪弹药的批量制造，并获得三种强大的模组：Breacher（强化破坏方块）、Stagger（毁灭性击退）、Shredder（破甲能力）。","精通散彈獵槍並進一步提升。解鎖所有散彈獵槍彈藥的批量製作，並獲得三種強大的模組：Breacher（強化破壞方塊）、Stagger（毀滅性擊退）、Shredder（破甲能力）。"
perkShotgunMessiahCompleteName,progression,perk  book,,,"Shotgun Messiah - Completion","Schrotflinten-Messias – Vervollständigung","Mesías Escopetero - Terminación","Shotgun Messiah - Série complète","Il profeta del fucile - Completo","ショットガン・メシア - 完了","샷건 메시아 - 완료","Mesjasz Strzelby — ukończono","Messias da Espingarda - Conclusão","Виртуоз дробовика, завершение","Shotgun Messiah - Tam Set","霰弹枪救星 - 完成","散彈獵槍彌爾塞-大功告成"
